,,X,Y,Z,Ycog,Zcog,radius,phi,Nx,Ny,Nz,innerWall,Dwall_normal,Corrupted,radius_out,Dwall,Dwall_projection
,,,,,,,129.876498,-3.141593,,,,,,,,,,
,,,,,,,129.913360,-3.124091,,,,,,,,,,
,,,,,,,129.849945,-3.106589,,,,,,,,,,
,,,,,,,129.834613,-3.089087,,,,,,,,,,
,,,,,,,129.834613,-3.071585,,,,,,,,,,
,,,,,,,129.834613,-3.054083,,,,,,,,,,
,,,,,,,129.978074,-3.036581,,,,,,,,,,
,,,,,,,129.973678,-3.019079,,,,,,,,,,
,,,,,,,129.923677,-3.001577,,,,,,,,,,
,,,,,,,129.898476,-2.984075,,,,,,,,,,
,,,,,,,129.898329,-2.966574,,,,,,,,,,
,,,,,,,129.909501,-2.949072,,,,,,,,,,
,,,,,,,129.931706,-2.931570,,,,,,,,,,
,,,,,,,129.955787,-2.914068,,,,,,,,,,
,,,,,,,129.976785,-2.896566,,,,,,,,,,
,,,,,,,129.992812,-2.879064,,,,,,,,,,
,,,,,,,130.001969,-2.861562,,,,,,,,,,
,,,,,,,130.008678,-2.844060,,,,,,,,,,
,,,,,,,130.013234,-2.826558,,,,,,,,,,
,,,,,,,130.014826,-2.809056,,,,,,,,,,
,,,,,,,130.014667,-2.791554,,,,,,,,,,
,,,,,,,130.013802,-2.774053,,,,,,,,,,
,,,,,,,130.012590,-2.756551,,,,,,,,,,
,,,,,,,130.014586,-2.739049,,,,,,,,,,
,,,,,,,130.014281,-2.721547,,,,,,,,,,
,,,,,,,130.015101,-2.704045,,,,,,,,,,
,,,,,,,130.018593,-2.686543,,,,,,,,,,
,,,,,,,130.019444,-2.669041,,,,,,,,,,
,,,,,,,130.022273,-2.651539,,,,,,,,,,
,,,,,,,130.023630,-2.634037,,,,,,,,,,
,,,,,,,130.026742,-2.616535,,,,,,,,,,
,,,,,,,130.039247,-2.599033,,,,,,,,,,
,,,,,,,130.050500,-2.581532,,,,,,,,,,
,,,,,,,130.060199,-2.564030,,,,,,,,,,
,,,,,,,130.067630,-2.546528,,,,,,,,,,
,,,,,,,130.078257,-2.529026,,,,,,,,,,
,,,,,,,130.086076,-2.511524,,,,,,,,,,
,,,,,,,130.095023,-2.494022,,,,,,,,,,
,,,,,,,130.099140,-2.476520,,,,,,,,,,
,,,,,,,130.098936,-2.459018,,,,,,,,,,
,,,,,,,130.098861,-2.441516,,,,,,,,,,
,,,,,,,130.102045,-2.424014,,,,,,,,,,
,,,,,,,130.105243,-2.406512,,,,,,,,,,
,,,,,,,130.103211,-2.389011,,,,,,,,,,
,,,,,,,130.097547,-2.371509,,,,,,,,,,
,,,,,,,130.092766,-2.354007,,,,,,,,,,
,,,,,,,130.082413,-2.336505,,,,,,,,,,
,,,,,,,130.070305,-2.319003,,,,,,,,,,
,,,,,,,130.063231,-2.301501,,,,,,,,,,
,,,,,,,130.056293,-2.283999,,,,,,,,,,
,,,,,,,130.047768,-2.266497,,,,,,,,,,
,,,,,,,130.047477,-2.248995,,,,,,,,,,
,,,,,,,130.045046,-2.231493,,,,,,,,,,
,,,,,,,130.042926,-2.213991,,,,,,,,,,
,,,,,,,130.052950,-2.196490,,,,,,,,,,
,,,,,,,130.089814,-2.178988,,,,,,,,,,
,,,,,,,130.113699,-2.161486,,,,,,,,,,
,,,,,,,130.136051,-2.143984,,,,,,,,,,
,,,,,,,130.151483,-2.126482,,,,,,,,,,
,,,,,,,130.174215,-2.108980,,,,,,,,,,
,,,,,,,130.194089,-2.091478,,,,,,,,,,
,,,,,,,130.201369,-2.073976,,,,,,,,,,
,,,,,,,130.202698,-2.056474,,,,,,,,,,
,,,,,,,130.201871,-2.038972,,,,,,,,,,
,,,,,,,130.198503,-2.021470,,,,,,,,,,
,,,,,,,130.196442,-2.003969,,,,,,,,,,
,,,,,,,130.199647,-1.986467,,,,,,,,,,
,,,,,,,130.208011,-1.968965,,,,,,,,,,
,,,,,,,130.226146,-1.951463,,,,,,,,,,
,,,,,,,130.240249,-1.933961,,,,,,,,,,
,,,,,,,130.259567,-1.916459,,,,,,,,,,
,,,,,,,130.282211,-1.898957,,,,,,,,,,
,,,,,,,130.301319,-1.881455,,,,,,,,,,
,,,,,,,130.312372,-1.863953,,,,,,,,,,
,,,,,,,130.314753,-1.846451,,,,,,,,,,
,,,,,,,130.309930,-1.828949,,,,,,,,,,
,,,,,,,130.297020,-1.811448,,,,,,,,,,
,,,,,,,130.279286,-1.793946,,,,,,,,,,
,,,,,,,130.265966,-1.776444,,,,,,,,,,
,,,,,,,130.244618,-1.758942,,,,,,,,,,
,,,,,,,130.225809,-1.741440,,,,,,,,,,
,,,,,,,130.226695,-1.723938,,,,,,,,,,
,,,,,,,130.225320,-1.706436,,,,,,,,,,
,,,,,,,130.223354,-1.688934,,,,,,,,,,
,,,,,,,130.223057,-1.671432,,,,,,,,,,
,,,,,,,130.225040,-1.653930,,,,,,,,,,
,,,,,,,130.226775,-1.636428,,,,,,,,,,
,,,,,,,130.225040,-1.618927,,,,,,,,,,
,,,,,,,130.224103,-1.601425,,,,,,,,,,
,,,,,,,130.219361,-1.583923,,,,,,,,,,
,,,,,,,130.212866,-1.566421,,,,,,,,,,
,,,,,,,130.209752,-1.548919,,,,,,,,,,
,,,,,,,130.206678,-1.531417,,,,,,,,,,
,,,,,,,130.201068,-1.513915,,,,,,,,,,
,,,,,,,130.193106,-1.496413,,,,,,,,,,
,,,,,,,130.186585,-1.478911,,,,,,,,,,
,,,,,,,130.179737,-1.461409,,,,,,,,,,
,,,,,,,130.164609,-1.443907,,,,,,,,,,
,,,,,,,130.147540,-1.426406,,,,,,,,,,
,,,,,,,130.118387,-1.408904,,,,,,,,,,
,,,,,,,130.098546,-1.391402,,,,,,,,,,
,,,,,,,130.062029,-1.373900,,,,,,,,,,
,,,,,,,130.030579,-1.356398,,,,,,,,,,
,,,,,,,129.988838,-1.338896,,,,,,,,,,
,,,,,,,129.951401,-1.321394,,,,,,,,,,
,,,,,,,129.922526,-1.303892,,,,,,,,,,
,,,,,,,129.882407,-1.286390,,,,,,,,,,
