,,X,Y,Z,Ycog,Zcog,radius,phi,Nx,Ny,Nz,innerWall,Dwall_normal,Corrupted,radius_out,Dwall,Dwall_projection
,,,,,,,129.589542,-3.141593,,,,,,,,,,
,,,,,,,129.631182,-3.124091,,,,,,,,,,
,,,,,,,129.644532,-3.106589,,,,,,,,,,
,,,,,,,129.739399,-3.089087,,,,,,,,,,
,,,,,,,129.740163,-3.071585,,,,,,,,,,
,,,,,,,129.703938,-3.054083,,,,,,,,,,
,,,,,,,129.690380,-3.036581,,,,,,,,,,
,,,,,,,129.683618,-3.019079,,,,,,,,,,
,,,,,,,129.689475,-3.001577,,,,,,,,,,
,,,,,,,129.694321,-2.984075,,,,,,,,,,
,,,,,,,129.702875,-2.966574,,,,,,,,,,
,,,,,,,129.721571,-2.949072,,,,,,,,,,
,,,,,,,129.734413,-2.931570,,,,,,,,,,
,,,,,,,129.760862,-2.914068,,,,,,,,,,
,,,,,,,129.779946,-2.896566,,,,,,,,,,
,,,,,,,129.791405,-2.879064,,,,,,,,,,
,,,,,,,129.797335,-2.861562,,,,,,,,,,
,,,,,,,129.797324,-2.844060,,,,,,,,,,
,,,,,,,129.800363,-2.826558,,,,,,,,,,
,,,,,,,129.805148,-2.809056,,,,,,,,,,
,,,,,,,129.812698,-2.791554,,,,,,,,,,
,,,,,,,129.818902,-2.774053,,,,,,,,,,
,,,,,,,129.827402,-2.756551,,,,,,,,,,
,,,,,,,129.833207,-2.739049,,,,,,,,,,
,,,,,,,129.835383,-2.721547,,,,,,,,,,
,,,,,,,129.840667,-2.704045,,,,,,,,,,
,,,,,,,129.845654,-2.686543,,,,,,,,,,
,,,,,,,129.850297,-2.669041,,,,,,,,,,
,,,,,,,129.855540,-2.651539,,,,,,,,,,
,,,,,,,129.859919,-2.634037,,,,,,,,,,
,,,,,,,129.868201,-2.616535,,,,,,,,,,
,,,,,,,129.875555,-2.599033,,,,,,,,,,
,,,,,,,129.881806,-2.581532,,,,,,,,,,
,,,,,,,129.897261,-2.564030,,,,,,,,,,
,,,,,,,129.919508,-2.546528,,,,,,,,,,
,,,,,,,129.941191,-2.529026,,,,,,,,,,
,,,,,,,129.976007,-2.511524,,,,,,,,,,
,,,,,,,130.001077,-2.494022,,,,,,,,,,
,,,,,,,130.015150,-2.476520,,,,,,,,,,
,,,,,,,130.018683,-2.459018,,,,,,,,,,
,,,,,,,130.010975,-2.441516,,,,,,,,,,
,,,,,,,130.000161,-2.424014,,,,,,,,,,
,,,,,,,129.988598,-2.406512,,,,,,,,,,
,,,,,,,129.980056,-2.389011,,,,,,,,,,
,,,,,,,129.978397,-2.371509,,,,,,,,,,
,,,,,,,129.981672,-2.354007,,,,,,,,,,
,,,,,,,129.990988,-2.336505,,,,,,,,,,
,,,,,,,130.006285,-2.319003,,,,,,,,,,
,,,,,,,130.038863,-2.301501,,,,,,,,,,
,,,,,,,130.070663,-2.283999,,,,,,,,,,
,,,,,,,130.101260,-2.266497,,,,,,,,,,
,,,,,,,130.128762,-2.248995,,,,,,,,,,
,,,,,,,130.171530,-2.231493,,,,,,,,,,
,,,,,,,130.195702,-2.213991,,,,,,,,,,
,,,,,,,130.211920,-2.196490,,,,,,,,,,
,,,,,,,130.214169,-2.178988,,,,,,,,,,
,,,,,,,130.217812,-2.161486,,,,,,,,,,
,,,,,,,130.219578,-2.143984,,,,,,,,,,
,,,,,,,130.225850,-2.126482,,,,,,,,,,
,,,,,,,130.234573,-2.108980,,,,,,,,,,
,,,,,,,130.245818,-2.091478,,,,,,,,,,
,,,,,,,130.260919,-2.073976,,,,,,,,,,
,,,,,,,130.282088,-2.056474,,,,,,,,,,
,,,,,,,130.306222,-2.038972,,,,,,,,,,
,,,,,,,130.327459,-2.021470,,,,,,,,,,
,,,,,,,130.336272,-2.003969,,,,,,,,,,
,,,,,,,130.337959,-1.986467,,,,,,,,,,
,,,,,,,130.336530,-1.968965,,,,,,,,,,
,,,,,,,130.325882,-1.951463,,,,,,,,,,
,,,,,,,130.317577,-1.933961,,,,,,,,,,
,,,,,,,130.303581,-1.916459,,,,,,,,,,
,,,,,,,130.294223,-1.898957,,,,,,,,,,
,,,,,,,130.292958,-1.881455,,,,,,,,,,
,,,,,,,130.287622,-1.863953,,,,,,,,,,
,,,,,,,130.275715,-1.846451,,,,,,,,,,
,,,,,,,130.259843,-1.828949,,,,,,,,,,
,,,,,,,130.245629,-1.811448,,,,,,,,,,
,,,,,,,130.230091,-1.793946,,,,,,,,,,
,,,,,,,130.218875,-1.776444,,,,,,,,,,
,,,,,,,130.207309,-1.758942,,,,,,,,,,
,,,,,,,130.198142,-1.741440,,,,,,,,,,
,,,,,,,130.192725,-1.723938,,,,,,,,,,
,,,,,,,130.183424,-1.706436,,,,,,,,,,
,,,,,,,130.163432,-1.688934,,,,,,,,,,
,,,,,,,130.151988,-1.671432,,,,,,,,,,
,,,,,,,130.132779,-1.653930,,,,,,,,,,
,,,,,,,130.122512,-1.636428,,,,,,,,,,
,,,,,,,130.114788,-1.618927,,,,,,,,,,
,,,,,,,130.109389,-1.601425,,,,,,,,,,
,,,,,,,130.105844,-1.583923,,,,,,,,,,
,,,,,,,130.098092,-1.566421,,,,,,,,,,
,,,,,,,130.090567,-1.548919,,,,,,,,,,
,,,,,,,130.074166,-1.531417,,,,,,,,,,
,,,,,,,130.059056,-1.513915,,,,,,,,,,
,,,,,,,130.040925,-1.496413,,,,,,,,,,
,,,,,,,130.021181,-1.478911,,,,,,,,,,
,,,,,,,130.007885,-1.461409,,,,,,,,,,
,,,,,,,129.999090,-1.443907,,,,,,,,,,
,,,,,,,129.996572,-1.426406,,,,,,,,,,
,,,,,,,129.993971,-1.408904,,,,,,,,,,
,,,,,,,129.993206,-1.391402,,,,,,,,,,
,,,,,,,129.992882,-1.373900,,,,,,,,,,
,,,,,,,129.987946,-1.356398,,,,,,,,,,
,,,,,,,129.982682,-1.338896,,,,,,,,,,
,,,,,,,129.981614,-1.321394,,,,,,,,,,
,,,,,,,129.981414,-1.303892,,,,,,,,,,
,,,,,,,129.984156,-1.286390,,,,,,,,,,
,,,,,,,129.993983,-1.268888,,,,,,,,,,
,,,,,,,130.008284,-1.251386,,,,,,,,,,
,,,,,,,130.034379,-1.233885,,,,,,,,,,
,,,,,,,130.053811,-1.216383,,,,,,,,,,
,,,,,,,130.073014,-1.198881,,,,,,,,,,
,,,,,,,130.110108,-1.181379,,,,,,,,,,
,,,,,,,130.117098,-1.163877,,,,,,,,,,
,,,,,,,130.117107,-1.146375,,,,,,,,,,
,,,,,,,130.107595,-1.128873,,,,,,,,,,
,,,,,,,130.084432,-1.111371,,,,,,,,,,
,,,,,,,130.056883,-1.093869,,,,,,,,,,
,,,,,,,130.027079,-1.076367,,,,,,,,,,
,,,,,,,130.000647,-1.058865,,,,,,,,,,
,,,,,,,129.974021,-1.041364,,,,,,,,,,
,,,,,,,129.955297,-1.023862,,,,,,,,,,
,,,,,,,129.955297,-1.006360,,,,,,,,,,
,,,,,,,129.948263,-0.988858,,,,,,,,,,
,,,,,,,129.944829,-0.971356,,,,,,,,,,
,,,,,,,129.943694,-0.953854,,,,,,,,,,
,,,,,,,129.942454,-0.936352,,,,,,,,,,
,,,,,,,129.941281,-0.918850,,,,,,,,,,
,,,,,,,129.938092,-0.901348,,,,,,,,,,
,,,,,,,129.933285,-0.883846,,,,,,,,,,
,,,,,,,129.930898,-0.866344,,,,,,,,,,
,,,,,,,129.923169,-0.848843,,,,,,,,,,
,,,,,,,129.914019,-0.831341,,,,,,,,,,
,,,,,,,129.910710,-0.813839,,,,,,,,,,
,,,,,,,129.906129,-0.796337,,,,,,,,,,
,,,,,,,129.903836,-0.778835,,,,,,,,,,
,,,,,,,129.899260,-0.761333,,,,,,,,,,
,,,,,,,129.899703,-0.743831,,,,,,,,,,
,,,,,,,129.902303,-0.726329,,,,,,,,,,
,,,,,,,129.906992,-0.708827,,,,,,,,,,
,,,,,,,129.912732,-0.691325,,,,,,,,,,
,,,,,,,129.918980,-0.673823,,,,,,,,,,
,,,,,,,129.920613,-0.656322,,,,,,,,,,
,,,,,,,129.925156,-0.638820,,,,,,,,,,
,,,,,,,129.936724,-0.621318,,,,,,,,,,
,,,,,,,129.947597,-0.603816,,,,,,,,,,
,,,,,,,129.953683,-0.586314,,,,,,,,,,
,,,,,,,129.958373,-0.568812,,,,,,,,,,
,,,,,,,129.965412,-0.551310,,,,,,,,,,
,,,,,,,129.972994,-0.533808,,,,,,,,,,
,,,,,,,129.976543,-0.516306,,,,,,,,,,
,,,,,,,129.983243,-0.498804,,,,,,,,,,
,,,,,,,129.991625,-0.481302,,,,,,,,,,
,,,,,,,129.999877,-0.463801,,,,,,,,,,
,,,,,,,130.008598,-0.446299,,,,,,,,,,
,,,,,,,130.013739,-0.428797,,,,,,,,,,
,,,,,,,130.011811,-0.411295,,,,,,,,,,
,,,,,,,130.021791,-0.393793,,,,,,,,,,
,,,,,,,130.040552,-0.376291,,,,,,,,,,
,,,,,,,130.054339,-0.358789,,,,,,,,,,
,,,,,,,130.061221,-0.341287,,,,,,,,,,
,,,,,,,130.072307,-0.323785,,,,,,,,,,
,,,,,,,130.080357,-0.306283,,,,,,,,,,
,,,,,,,130.096826,-0.288781,,,,,,,,,,
,,,,,,,130.105015,-0.271280,,,,,,,,,,
,,,,,,,130.106754,-0.253778,,,,,,,,,,
,,,,,,,130.112195,-0.236276,,,,,,,,,,
,,,,,,,130.117148,-0.218774,,,,,,,,,,
,,,,,,,130.117315,-0.201272,,,,,,,,,,
,,,,,,,130.122162,-0.183770,,,,,,,,,,
,,,,,,,130.121638,-0.166268,,,,,,,,,,
,,,,,,,130.119873,-0.148766,,,,,,,,,,
,,,,,,,130.117464,-0.131264,,,,,,,,,,
,,,,,,,130.114372,-0.113762,,,,,,,,,,
,,,,,,,130.113949,-0.096260,,,,,,,,,,
,,,,,,,130.115323,-0.078759,,,,,,,,,,
,,,,,,,130.123169,-0.061257,,,,,,,,,,
,,,,,,,130.123938,-0.043755,,,,,,,,,,
,,,,,,,130.131085,-0.026253,,,,,,,,,,
,,,,,,,130.132296,-0.008751,,,,,,,,,,
,,,,,,,130.137155,0.008751,,,,,,,,,,
,,,,,,,130.142483,0.026253,,,,,,,,,,
,,,,,,,130.135068,0.043755,,,,,,,,,,
,,,,,,,130.129873,0.061257,,,,,,,,,,
,,,,,,,130.119308,0.078759,,,,,,,,,,
,,,,,,,130.104721,0.096260,,,,,,,,,,
,,,,,,,130.096583,0.113762,,,,,,,,,,
,,,,,,,130.083794,0.131264,,,,,,,,,,
,,,,,,,130.070338,0.148766,,,,,,,,,,
,,,,,,,130.055699,0.166268,,,,,,,,,,
,,,,,,,130.040665,0.183770,,,,,,,,,,
,,,,,,,130.030811,0.201272,,,,,,,,,,
,,,,,,,130.009115,0.218774,,,,,,,,,,
,,,,,,,129.993886,0.236276,,,,,,,,,,
,,,,,,,129.983820,0.253778,,,,,,,,,,
,,,,,,,129.965519,0.271280,,,,,,,,,,
,,,,,,,129.956083,0.288781,,,,,,,,,,
,,,,,,,129.942724,0.306283,,,,,,,,,,
,,,,,,,129.929319,0.323785,,,,,,,,,,
,,,,,,,129.917504,0.341287,,,,,,,,,,
,,,,,,,129.911608,0.358789,,,,,,,,,,
,,,,,,,129.886261,0.376291,,,,,,,,,,
,,,,,,,129.877014,0.393793,,,,,,,,,,
,,,,,,,129.863455,0.411295,,,,,,,,,,
,,,,,,,129.846632,0.428797,,,,,,,,,,
,,,,,,,129.840819,0.446299,,,,,,,,,,
,,,,,,,129.826773,0.463801,,,,,,,,,,
,,,,,,,129.808631,0.481302,,,,,,,,,,
,,,,,,,129.801003,0.498804,,,,,,,,,,
,,,,,,,129.797055,0.516306,,,,,,,,,,
,,,,,,,129.794226,0.533808,,,,,,,,,,
,,,,,,,129.788977,0.551310,,,,,,,,,,
,,,,,,,129.785654,0.568812,,,,,,,,,,
,,,,,,,129.781200,0.586314,,,,,,,,,,
,,,,,,,129.785880,0.603816,,,,,,,,,,
,,,,,,,129.784290,0.621318,,,,,,,,,,
,,,,,,,129.773990,0.638820,,,,,,,,,,
,,,,,,,129.770985,0.656322,,,,,,,,,,
,,,,,,,129.769044,0.673823,,,,,,,,,,
,,,,,,,129.761997,0.691325,,,,,,,,,,
,,,,,,,129.748743,0.708827,,,,,,,,,,
,,,,,,,129.748030,0.726329,,,,,,,,,,
,,,,,,,129.734690,0.743831,,,,,,,,,,
,,,,,,,129.731662,0.761333,,,,,,,,,,
,,,,,,,129.726740,0.778835,,,,,,,,,,
,,,,,,,129.736505,0.796337,,,,,,,,,,
,,,,,,,129.749538,0.813839,,,,,,,,,,
,,,,,,,129.767244,0.831341,,,,,,,,,,
,,,,,,,129.788076,0.848843,,,,,,,,,,
,,,,,,,129.822251,0.866344,,,,,,,,,,
,,,,,,,129.852255,0.883846,,,,,,,,,,
,,,,,,,129.897535,0.901348,,,,,,,,,,
,,,,,,,129.922101,0.918850,,,,,,,,,,
,,,,,,,129.944733,0.936352,,,,,,,,,,
,,,,,,,129.963351,0.953854,,,,,,,,,,
