,,X,Y,Z,Ycog,Zcog,radius,phi,Nx,Ny,Nz,innerWall,Dwall_normal,Corrupted,radius_out,Dwall,Dwall_projection
,,,,,,,129.825908,-3.141593,,,,,,,,,,
,,,,,,,129.826421,-3.124091,,,,,,,,,,
,,,,,,,129.803224,-3.106589,,,,,,,,,,
,,,,,,,129.800353,-3.089087,,,,,,,,,,
,,,,,,,129.809208,-3.071585,,,,,,,,,,
,,,,,,,129.803991,-3.054083,,,,,,,,,,
,,,,,,,129.681283,-3.036581,,,,,,,,,,
,,,,,,,129.635499,-3.019079,,,,,,,,,,
,,,,,,,129.642649,-3.001577,,,,,,,,,,
,,,,,,,129.696872,-2.984075,,,,,,,,,,
,,,,,,,129.845928,-2.966574,,,,,,,,,,
,,,,,,,129.865842,-2.949072,,,,,,,,,,
,,,,,,,129.856872,-2.931570,,,,,,,,,,
,,,,,,,129.831224,-2.914068,,,,,,,,,,
,,,,,,,129.822851,-2.896566,,,,,,,,,,
,,,,,,,129.833419,-2.879064,,,,,,,,,,
,,,,,,,129.854740,-2.861562,,,,,,,,,,
,,,,,,,129.865023,-2.844060,,,,,,,,,,
,,,,,,,129.876051,-2.826558,,,,,,,,,,
,,,,,,,129.873729,-2.809056,,,,,,,,,,
,,,,,,,129.858461,-2.791554,,,,,,,,,,
,,,,,,,129.839451,-2.774053,,,,,,,,,,
,,,,,,,129.823215,-2.756551,,,,,,,,,,
,,,,,,,129.811771,-2.739049,,,,,,,,,,
,,,,,,,129.801807,-2.721547,,,,,,,,,,
,,,,,,,129.798644,-2.704045,,,,,,,,,,
,,,,,,,129.799435,-2.686543,,,,,,,,,,
,,,,,,,129.798126,-2.669041,,,,,,,,,,
,,,,,,,129.801070,-2.651539,,,,,,,,,,
,,,,,,,129.802089,-2.634037,,,,,,,,,,
,,,,,,,129.804537,-2.616535,,,,,,,,,,
,,,,,,,129.803655,-2.599033,,,,,,,,,,
,,,,,,,129.802837,-2.581532,,,,,,,,,,
,,,,,,,129.802710,-2.564030,,,,,,,,,,
,,,,,,,129.805185,-2.546528,,,,,,,,,,
,,,,,,,129.811057,-2.529026,,,,,,,,,,
,,,,,,,129.820925,-2.511524,,,,,,,,,,
,,,,,,,129.831437,-2.494022,,,,,,,,,,
,,,,,,,129.848671,-2.476520,,,,,,,,,,
,,,,,,,129.874207,-2.459018,,,,,,,,,,
,,,,,,,129.895041,-2.441516,,,,,,,,,,
,,,,,,,129.923656,-2.424014,,,,,,,,,,
,,,,,,,129.936690,-2.406512,,,,,,,,,,
,,,,,,,129.952186,-2.389011,,,,,,,,,,
,,,,,,,129.957796,-2.371509,,,,,,,,,,
,,,,,,,129.954351,-2.354007,,,,,,,,,,
,,,,,,,129.943615,-2.336505,,,,,,,,,,
,,,,,,,129.934168,-2.319003,,,,,,,,,,
,,,,,,,129.929679,-2.301501,,,,,,,,,,
,,,,,,,129.929642,-2.283999,,,,,,,,,,
,,,,,,,129.936077,-2.266497,,,,,,,,,,
,,,,,,,129.954370,-2.248995,,,,,,,,,,
,,,,,,,129.977370,-2.231493,,,,,,,,,,
,,,,,,,130.016977,-2.213991,,,,,,,,,,
,,,,,,,130.058740,-2.196490,,,,,,,,,,
,,,,,,,130.090474,-2.178988,,,,,,,,,,
,,,,,,,130.102126,-2.161486,,,,,,,,,,
,,,,,,,130.109149,-2.143984,,,,,,,,,,
,,,,,,,130.115937,-2.126482,,,,,,,,,,
,,,,,,,130.131111,-2.108980,,,,,,,,,,
,,,,,,,130.142675,-2.091478,,,,,,,,,,
,,,,,,,130.153517,-2.073976,,,,,,,,,,
,,,,,,,130.163056,-2.056474,,,,,,,,,,
,,,,,,,130.171960,-2.038972,,,,,,,,,,
,,,,,,,130.188248,-2.021470,,,,,,,,,,
,,,,,,,130.205588,-2.003969,,,,,,,,,,
,,,,,,,130.231432,-1.986467,,,,,,,,,,
,,,,,,,130.254390,-1.968965,,,,,,,,,,
,,,,,,,130.291113,-1.951463,,,,,,,,,,
,,,,,,,130.316596,-1.933961,,,,,,,,,,
,,,,,,,130.335304,-1.916459,,,,,,,,,,
,,,,,,,130.341422,-1.898957,,,,,,,,,,
,,,,,,,130.336911,-1.881455,,,,,,,,,,
,,,,,,,130.336909,-1.863953,,,,,,,,,,
,,,,,,,130.340074,-1.846451,,,,,,,,,,
,,,,,,,130.340084,-1.828949,,,,,,,,,,
,,,,,,,130.327613,-1.811448,,,,,,,,,,
,,,,,,,130.315635,-1.793946,,,,,,,,,,
,,,,,,,130.293655,-1.776444,,,,,,,,,,
,,,,,,,130.279941,-1.758942,,,,,,,,,,
,,,,,,,130.277017,-1.741440,,,,,,,,,,
,,,,,,,130.280142,-1.723938,,,,,,,,,,
,,,,,,,130.279258,-1.706436,,,,,,,,,,
,,,,,,,130.273409,-1.688934,,,,,,,,,,
,,,,,,,130.256636,-1.671432,,,,,,,,,,
,,,,,,,130.230614,-1.653930,,,,,,,,,,
,,,,,,,130.223884,-1.636428,,,,,,,,,,
,,,,,,,130.224260,-1.618927,,,,,,,,,,
,,,,,,,130.224424,-1.601425,,,,,,,,,,
,,,,,,,130.221442,-1.583923,,,,,,,,,,
,,,,,,,130.197627,-1.566421,,,,,,,,,,
