,,X,Y,Z,Ycog,Zcog,radius,phi,Nx,Ny,Nz,innerWall,Dwall_normal,Corrupted,radius_out,Dwall,Dwall_projection
,,,,,,,129.366103,-3.141593,,,,,,,,,,
,,,,,,,129.422802,-3.124091,,,,,,,,,,
,,,,,,,129.445384,-3.106589,,,,,,,,,,
,,,,,,,129.514233,-3.089087,,,,,,,,,,
,,,,,,,129.727861,-3.071585,,,,,,,,,,
,,,,,,,129.792228,-3.054083,,,,,,,,,,
,,,,,,,129.796739,-3.036581,,,,,,,,,,
,,,,,,,129.790511,-3.019079,,,,,,,,,,
,,,,,,,129.792638,-3.001577,,,,,,,,,,
,,,,,,,129.823195,-2.984075,,,,,,,,,,
,,,,,,,129.840480,-2.966574,,,,,,,,,,
,,,,,,,129.870544,-2.949072,,,,,,,,,,
,,,,,,,129.884421,-2.931570,,,,,,,,,,
,,,,,,,129.892885,-2.914068,,,,,,,,,,
,,,,,,,129.895357,-2.896566,,,,,,,,,,
,,,,,,,129.892885,-2.879064,,,,,,,,,,
,,,,,,,129.889590,-2.861562,,,,,,,,,,
,,,,,,,129.880873,-2.844060,,,,,,,,,,
,,,,,,,129.875850,-2.826558,,,,,,,,,,
,,,,,,,129.869871,-2.809056,,,,,,,,,,
,,,,,,,129.867771,-2.791554,,,,,,,,,,
,,,,,,,129.869718,-2.774053,,,,,,,,,,
,,,,,,,129.869963,-2.756551,,,,,,,,,,
,,,,,,,129.871390,-2.739049,,,,,,,,,,
,,,,,,,129.875707,-2.721547,,,,,,,,,,
,,,,,,,129.881147,-2.704045,,,,,,,,,,
,,,,,,,129.890184,-2.686543,,,,,,,,,,
,,,,,,,129.902105,-2.669041,,,,,,,,,,
,,,,,,,129.911449,-2.651539,,,,,,,,,,
,,,,,,,129.924234,-2.634037,,,,,,,,,,
,,,,,,,129.934312,-2.616535,,,,,,,,,,
,,,,,,,129.946132,-2.599033,,,,,,,,,,
,,,,,,,129.962382,-2.581532,,,,,,,,,,
,,,,,,,129.980502,-2.564030,,,,,,,,,,
,,,,,,,129.998191,-2.546528,,,,,,,,,,
,,,,,,,130.007245,-2.529026,,,,,,,,,,
,,,,,,,130.029975,-2.511524,,,,,,,,,,
,,,,,,,130.037549,-2.494022,,,,,,,,,,
,,,,,,,130.047730,-2.476520,,,,,,,,,,
,,,,,,,130.057325,-2.459018,,,,,,,,,,
,,,,,,,130.065349,-2.441516,,,,,,,,,,
,,,,,,,130.072599,-2.424014,,,,,,,,,,
,,,,,,,130.073730,-2.406512,,,,,,,,,,
,,,,,,,130.078899,-2.389011,,,,,,,,,,
,,,,,,,130.084997,-2.371509,,,,,,,,,,
,,,,,,,130.106917,-2.354007,,,,,,,,,,
,,,,,,,130.123126,-2.336505,,,,,,,,,,
,,,,,,,130.141736,-2.319003,,,,,,,,,,
,,,,,,,130.161206,-2.301501,,,,,,,,,,
,,,,,,,130.199636,-2.283999,,,,,,,,,,
,,,,,,,130.215932,-2.266497,,,,,,,,,,
,,,,,,,130.234252,-2.248995,,,,,,,,,,
,,,,,,,130.255214,-2.231493,,,,,,,,,,
,,,,,,,130.275656,-2.213991,,,,,,,,,,
,,,,,,,130.295238,-2.196490,,,,,,,,,,
,,,,,,,130.304196,-2.178988,,,,,,,,,,
,,,,,,,130.309087,-2.161486,,,,,,,,,,
,,,,,,,130.317261,-2.143984,,,,,,,,,,
,,,,,,,130.326960,-2.126482,,,,,,,,,,
,,,,,,,130.332621,-2.108980,,,,,,,,,,
,,,,,,,130.351084,-2.091478,,,,,,,,,,
,,,,,,,130.365025,-2.073976,,,,,,,,,,
,,,,,,,130.388515,-2.056474,,,,,,,,,,
,,,,,,,130.411425,-2.038972,,,,,,,,,,
,,,,,,,130.440796,-2.021470,,,,,,,,,,
,,,,,,,130.500311,-2.003969,,,,,,,,,,
,,,,,,,130.538121,-1.986467,,,,,,,,,,
,,,,,,,130.585748,-1.968965,,,,,,,,,,
