,,X,Y,Z,Ycog,Zcog,radius,phi,Nx,Ny,Nz,innerWall,Dwall_normal,Corrupted,radius_out,Dwall,Dwall_projection
,,,,,,,130.129792,-3.141593,,,,,,,,,,
,,,,,,,130.138001,-3.124091,,,,,,,,,,
,,,,,,,130.136378,-3.106589,,,,,,,,,,
,,,,,,,130.126108,-3.089087,,,,,,,,,,
,,,,,,,130.116881,-3.071585,,,,,,,,,,
,,,,,,,130.105534,-3.054083,,,,,,,,,,
,,,,,,,130.098290,-3.036581,,,,,,,,,,
,,,,,,,130.094571,-3.019079,,,,,,,,,,
,,,,,,,130.085401,-3.001577,,,,,,,,,,
,,,,,,,130.079012,-2.984075,,,,,,,,,,
,,,,,,,130.061606,-2.966574,,,,,,,,,,
,,,,,,,130.054032,-2.949072,,,,,,,,,,
,,,,,,,130.045334,-2.931570,,,,,,,,,,
,,,,,,,130.038797,-2.914068,,,,,,,,,,
,,,,,,,130.037390,-2.896566,,,,,,,,,,
,,,,,,,130.038957,-2.879064,,,,,,,,,,
,,,,,,,130.047946,-2.861562,,,,,,,,,,
,,,,,,,130.051064,-2.844060,,,,,,,,,,
,,,,,,,130.054753,-2.826558,,,,,,,,,,
,,,,,,,130.057549,-2.809056,,,,,,,,,,
,,,,,,,130.056657,-2.791554,,,,,,,,,,
,,,,,,,130.054441,-2.774053,,,,,,,,,,
,,,,,,,130.055068,-2.756551,,,,,,,,,,
,,,,,,,130.065925,-2.739049,,,,,,,,,,
,,,,,,,130.075909,-2.721547,,,,,,,,,,
,,,,,,,130.090715,-2.704045,,,,,,,,,,
,,,,,,,130.099882,-2.686543,,,,,,,,,,
,,,,,,,130.109286,-2.669041,,,,,,,,,,
,,,,,,,130.106383,-2.651539,,,,,,,,,,
,,,,,,,130.105894,-2.634037,,,,,,,,,,
,,,,,,,130.105035,-2.616535,,,,,,,,,,
,,,,,,,130.096051,-2.599033,,,,,,,,,,
,,,,,,,130.088394,-2.581532,,,,,,,,,,
,,,,,,,130.084772,-2.564030,,,,,,,,,,
,,,,,,,130.086577,-2.546528,,,,,,,,,,
,,,,,,,130.088647,-2.529026,,,,,,,,,,
,,,,,,,130.081651,-2.511524,,,,,,,,,,
,,,,,,,130.060242,-2.494022,,,,,,,,,,
,,,,,,,130.024912,-2.476520,,,,,,,,,,
,,,,,,,129.995625,-2.459018,,,,,,,,,,
,,,,,,,129.981763,-2.441516,,,,,,,,,,
,,,,,,,129.994091,-2.424014,,,,,,,,,,
,,,,,,,130.028668,-2.406512,,,,,,,,,,
,,,,,,,130.070514,-2.389011,,,,,,,,,,
,,,,,,,130.107024,-2.371509,,,,,,,,,,
,,,,,,,130.146056,-2.354007,,,,,,,,,,
,,,,,,,130.167169,-2.336505,,,,,,,,,,
,,,,,,,130.176683,-2.319003,,,,,,,,,,
,,,,,,,130.175630,-2.301501,,,,,,,,,,
,,,,,,,130.151599,-2.283999,,,,,,,,,,
,,,,,,,130.128319,-2.266497,,,,,,,,,,
,,,,,,,130.104212,-2.248995,,,,,,,,,,
,,,,,,,130.068601,-2.231493,,,,,,,,,,
,,,,,,,130.035300,-2.213991,,,,,,,,,,
,,,,,,,130.008666,-2.196490,,,,,,,,,,
,,,,,,,129.976941,-2.178988,,,,,,,,,,
,,,,,,,129.957247,-2.161486,,,,,,,,,,
,,,,,,,129.952777,-2.143984,,,,,,,,,,
,,,,,,,129.954431,-2.126482,,,,,,,,,,
,,,,,,,129.957607,-2.108980,,,,,,,,,,
,,,,,,,129.961124,-2.091478,,,,,,,,,,
,,,,,,,129.971176,-2.073976,,,,,,,,,,
,,,,,,,129.977118,-2.056474,,,,,,,,,,
,,,,,,,129.970811,-2.038972,,,,,,,,,,
,,,,,,,129.959434,-2.021470,,,,,,,,,,
,,,,,,,129.950067,-2.003969,,,,,,,,,,
,,,,,,,129.937128,-1.986467,,,,,,,,,,
,,,,,,,129.927448,-1.968965,,,,,,,,,,
,,,,,,,129.908123,-1.951463,,,,,,,,,,
,,,,,,,129.892359,-1.933961,,,,,,,,,,
,,,,,,,129.886556,-1.916459,,,,,,,,,,
,,,,,,,129.870135,-1.898957,,,,,,,,,,
,,,,,,,129.858464,-1.881455,,,,,,,,,,
,,,,,,,129.849144,-1.863953,,,,,,,,,,
,,,,,,,129.845865,-1.846451,,,,,,,,,,
,,,,,,,129.836428,-1.828949,,,,,,,,,,
,,,,,,,129.831608,-1.811448,,,,,,,,,,
,,,,,,,129.824033,-1.793946,,,,,,,,,,
,,,,,,,129.818169,-1.776444,,,,,,,,,,
,,,,,,,129.806382,-1.758942,,,,,,,,,,
,,,,,,,129.801684,-1.741440,,,,,,,,,,
,,,,,,,129.798392,-1.723938,,,,,,,,,,
,,,,,,,129.793890,-1.706436,,,,,,,,,,
,,,,,,,129.784666,-1.688934,,,,,,,,,,
