,,X,Y,Z,Ycog,Zcog,radius,phi,Nx,Ny,Nz,innerWall,Dwall_normal,Corrupted,radius_out,Dwall,Dwall_projection
,,,,,,,129.902448,-3.141593,,,,,,,,,,
,,,,,,,129.956320,-3.124091,,,,,,,,,,
,,,,,,,130.037142,-3.106589,,,,,,,,,,
,,,,,,,130.079880,-3.089087,,,,,,,,,,
,,,,,,,130.059229,-3.071585,,,,,,,,,,
,,,,,,,130.012635,-3.054083,,,,,,,,,,
,,,,,,,129.995592,-3.036581,,,,,,,,,,
,,,,,,,129.999051,-3.019079,,,,,,,,,,
,,,,,,,130.023353,-3.001577,,,,,,,,,,
,,,,,,,130.046902,-2.984075,,,,,,,,,,
,,,,,,,130.058990,-2.966574,,,,,,,,,,
,,,,,,,130.059160,-2.949072,,,,,,,,,,
,,,,,,,130.054381,-2.931570,,,,,,,,,,
,,,,,,,130.042048,-2.914068,,,,,,,,,,
,,,,,,,130.032733,-2.896566,,,,,,,,,,
,,,,,,,130.020805,-2.879064,,,,,,,,,,
,,,,,,,130.011518,-2.861562,,,,,,,,,,
,,,,,,,130.003469,-2.844060,,,,,,,,,,
,,,,,,,129.993761,-2.826558,,,,,,,,,,
,,,,,,,129.986261,-2.809056,,,,,,,,,,
,,,,,,,129.974713,-2.791554,,,,,,,,,,
,,,,,,,129.967634,-2.774053,,,,,,,,,,
,,,,,,,129.963804,-2.756551,,,,,,,,,,
,,,,,,,129.961376,-2.739049,,,,,,,,,,
,,,,,,,129.958802,-2.721547,,,,,,,,,,
,,,,,,,129.952509,-2.704045,,,,,,,,,,
,,,,,,,129.952509,-2.686543,,,,,,,,,,
,,,,,,,129.951948,-2.669041,,,,,,,,,,
,,,,,,,129.949334,-2.651539,,,,,,,,,,
,,,,,,,129.952430,-2.634037,,,,,,,,,,
,,,,,,,129.945752,-2.616535,,,,,,,,,,
,,,,,,,129.951929,-2.599033,,,,,,,,,,
,,,,,,,129.951556,-2.581532,,,,,,,,,,
,,,,,,,129.950834,-2.564030,,,,,,,,,,
,,,,,,,129.950463,-2.546528,,,,,,,,,,
,,,,,,,129.951919,-2.529026,,,,,,,,,,
,,,,,,,129.956325,-2.511524,,,,,,,,,,
,,,,,,,129.953869,-2.494022,,,,,,,,,,
,,,,,,,129.957093,-2.476520,,,,,,,,,,
,,,,,,,129.953667,-2.459018,,,,,,,,,,
,,,,,,,129.948547,-2.441516,,,,,,,,,,
,,,,,,,129.945505,-2.424014,,,,,,,,,,
,,,,,,,129.940360,-2.406512,,,,,,,,,,
,,,,,,,129.933316,-2.389011,,,,,,,,,,
,,,,,,,129.922364,-2.371509,,,,,,,,,,
,,,,,,,129.911955,-2.354007,,,,,,,,,,
,,,,,,,129.903719,-2.336505,,,,,,,,,,
,,,,,,,129.891089,-2.319003,,,,,,,,,,
,,,,,,,129.880614,-2.301501,,,,,,,,,,
,,,,,,,129.881037,-2.283999,,,,,,,,,,
,,,,,,,129.897763,-2.266497,,,,,,,,,,
,,,,,,,129.914427,-2.248995,,,,,,,,,,
,,,,,,,129.948426,-2.231493,,,,,,,,,,
,,,,,,,129.986912,-2.213991,,,,,,,,,,
,,,,,,,130.035442,-2.196490,,,,,,,,,,
,,,,,,,130.078818,-2.178988,,,,,,,,,,
,,,,,,,130.136982,-2.161486,,,,,,,,,,
,,,,,,,130.181059,-2.143984,,,,,,,,,,
,,,,,,,130.215200,-2.126482,,,,,,,,,,
,,,,,,,130.250311,-2.108980,,,,,,,,,,
,,,,,,,130.276650,-2.091478,,,,,,,,,,
,,,,,,,130.297773,-2.073976,,,,,,,,,,
,,,,,,,130.310572,-2.056474,,,,,,,,,,
,,,,,,,130.316168,-2.038972,,,,,,,,,,
,,,,,,,130.308740,-2.021470,,,,,,,,,,
,,,,,,,130.289940,-2.003969,,,,,,,,,,
,,,,,,,130.270004,-1.986467,,,,,,,,,,
,,,,,,,130.258406,-1.968965,,,,,,,,,,
,,,,,,,130.249065,-1.951463,,,,,,,,,,
,,,,,,,130.240472,-1.933961,,,,,,,,,,
,,,,,,,130.232697,-1.916459,,,,,,,,,,
,,,,,,,130.211909,-1.898957,,,,,,,,,,
,,,,,,,130.195281,-1.881455,,,,,,,,,,
,,,,,,,130.181590,-1.863953,,,,,,,,,,
,,,,,,,130.161369,-1.846451,,,,,,,,,,
,,,,,,,130.145774,-1.828949,,,,,,,,,,
,,,,,,,130.131442,-1.811448,,,,,,,,,,
,,,,,,,130.117181,-1.793946,,,,,,,,,,
,,,,,,,130.102494,-1.776444,,,,,,,,,,
,,,,,,,130.085032,-1.758942,,,,,,,,,,
,,,,,,,130.069246,-1.741440,,,,,,,,,,
,,,,,,,130.052370,-1.723938,,,,,,,,,,
,,,,,,,130.038373,-1.706436,,,,,,,,,,
,,,,,,,130.024459,-1.688934,,,,,,,,,,
,,,,,,,130.012401,-1.671432,,,,,,,,,,
,,,,,,,130.005187,-1.653930,,,,,,,,,,
,,,,,,,130.000735,-1.636428,,,,,,,,,,
,,,,,,,129.989373,-1.618927,,,,,,,,,,
,,,,,,,129.979246,-1.601425,,,,,,,,,,
,,,,,,,129.963465,-1.583923,,,,,,,,,,
,,,,,,,129.948290,-1.566421,,,,,,,,,,
,,,,,,,129.940096,-1.548919,,,,,,,,,,
,,,,,,,129.931730,-1.531417,,,,,,,,,,
,,,,,,,129.934937,-1.513915,,,,,,,,,,
,,,,,,,129.931773,-1.496413,,,,,,,,,,
,,,,,,,129.922427,-1.478911,,,,,,,,,,
,,,,,,,129.917986,-1.461409,,,,,,,,,,
,,,,,,,129.918374,-1.443907,,,,,,,,,,
,,,,,,,129.911374,-1.426406,,,,,,,,,,
,,,,,,,129.906676,-1.408904,,,,,,,,,,
,,,,,,,129.907865,-1.391402,,,,,,,,,,
,,,,,,,129.902814,-1.373900,,,,,,,,,,
,,,,,,,129.901812,-1.356398,,,,,,,,,,
,,,,,,,129.907869,-1.338896,,,,,,,,,,
,,,,,,,129.918895,-1.321394,,,,,,,,,,
,,,,,,,129.932614,-1.303892,,,,,,,,,,
,,,,,,,129.944798,-1.286390,,,,,,,,,,
,,,,,,,129.957415,-1.268888,,,,,,,,,,
,,,,,,,129.960769,-1.251386,,,,,,,,,,
,,,,,,,129.971864,-1.233885,,,,,,,,,,
,,,,,,,129.979256,-1.216383,,,,,,,,,,
,,,,,,,129.989410,-1.198881,,,,,,,,,,
,,,,,,,129.992337,-1.181379,,,,,,,,,,
,,,,,,,129.990622,-1.163877,,,,,,,,,,
,,,,,,,129.999776,-1.146375,,,,,,,,,,
,,,,,,,130.034596,-1.128873,,,,,,,,,,
,,,,,,,130.098206,-1.111371,,,,,,,,,,
,,,,,,,130.164694,-1.093869,,,,,,,,,,
,,,,,,,130.234147,-1.076367,,,,,,,,,,
,,,,,,,130.272086,-1.058865,,,,,,,,,,
,,,,,,,130.281397,-1.041364,,,,,,,,,,
,,,,,,,130.274206,-1.023862,,,,,,,,,,
,,,,,,,130.250006,-1.006360,,,,,,,,,,
,,,,,,,130.227389,-0.988858,,,,,,,,,,
,,,,,,,130.206289,-0.971356,,,,,,,,,,
,,,,,,,130.180389,-0.953854,,,,,,,,,,
,,,,,,,130.158205,-0.936352,,,,,,,,,,
,,,,,,,130.146996,-0.918850,,,,,,,,,,
,,,,,,,130.133397,-0.901348,,,,,,,,,,
,,,,,,,130.125721,-0.883846,,,,,,,,,,
,,,,,,,130.123221,-0.866344,,,,,,,,,,
,,,,,,,130.124447,-0.848843,,,,,,,,,,
,,,,,,,130.134813,-0.831341,,,,,,,,,,
,,,,,,,130.144214,-0.813839,,,,,,,,,,
,,,,,,,130.150714,-0.796337,,,,,,,,,,
,,,,,,,130.152605,-0.778835,,,,,,,,,,
,,,,,,,130.148814,-0.761333,,,,,,,,,,
,,,,,,,130.146572,-0.743831,,,,,,,,,,
,,,,,,,130.138351,-0.726329,,,,,,,,,,
,,,,,,,130.125092,-0.708827,,,,,,,,,,
,,,,,,,130.111072,-0.691325,,,,,,,,,,
,,,,,,,130.100599,-0.673823,,,,,,,,,,
,,,,,,,130.088444,-0.656322,,,,,,,,,,
,,,,,,,130.076139,-0.638820,,,,,,,,,,
,,,,,,,130.070659,-0.621318,,,,,,,,,,
,,,,,,,130.068324,-0.603816,,,,,,,,,,
,,,,,,,130.069496,-0.586314,,,,,,,,,,
,,,,,,,130.070998,-0.568812,,,,,,,,,,
,,,,,,,130.074089,-0.551310,,,,,,,,,,
,,,,,,,130.077333,-0.533808,,,,,,,,,,
,,,,,,,130.078802,-0.516306,,,,,,,,,,
,,,,,,,130.083982,-0.498804,,,,,,,,,,
,,,,,,,130.084328,-0.481302,,,,,,,,,,
,,,,,,,130.086922,-0.463801,,,,,,,,,,
,,,,,,,130.096347,-0.446299,,,,,,,,,,
,,,,,,,130.100863,-0.428797,,,,,,,,,,
,,,,,,,130.115617,-0.411295,,,,,,,,,,
,,,,,,,130.114836,-0.393793,,,,,,,,,,
,,,,,,,130.111837,-0.376291,,,,,,,,,,
,,,,,,,130.110365,-0.358789,,,,,,,,,,
,,,,,,,130.113874,-0.341287,,,,,,,,,,
,,,,,,,130.120013,-0.323785,,,,,,,,,,
,,,,,,,130.126161,-0.306283,,,,,,,,,,
,,,,,,,130.132044,-0.288781,,,,,,,,,,
,,,,,,,130.136451,-0.271280,,,,,,,,,,
,,,,,,,130.141603,-0.253778,,,,,,,,,,
,,,,,,,130.150763,-0.236276,,,,,,,,,,
,,,,,,,130.161161,-0.218774,,,,,,,,,,
,,,,,,,130.171964,-0.201272,,,,,,,,,,
,,,,,,,130.186491,-0.183770,,,,,,,,,,
,,,,,,,130.202769,-0.166268,,,,,,,,,,
,,,,,,,130.220940,-0.148766,,,,,,,,,,
,,,,,,,130.241979,-0.131264,,,,,,,,,,
,,,,,,,130.253252,-0.113762,,,,,,,,,,
,,,,,,,130.263175,-0.096260,,,,,,,,,,
,,,,,,,130.273489,-0.078759,,,,,,,,,,
,,,,,,,130.283447,-0.061257,,,,,,,,,,
,,,,,,,130.299506,-0.043755,,,,,,,,,,
,,,,,,,130.304592,-0.026253,,,,,,,,,,
,,,,,,,130.307606,-0.008751,,,,,,,,,,
,,,,,,,130.304980,0.008751,,,,,,,,,,
,,,,,,,130.296045,0.026253,,,,,,,,,,
,,,,,,,130.280540,0.043755,,,,,,,,,,
,,,,,,,130.267713,0.061257,,,,,,,,,,
,,,,,,,130.250129,0.078759,,,,,,,,,,
,,,,,,,130.234508,0.096260,,,,,,,,,,
,,,,,,,130.215483,0.113762,,,,,,,,,,
,,,,,,,130.190445,0.131264,,,,,,,,,,
,,,,,,,130.173787,0.148766,,,,,,,,,,
,,,,,,,130.154209,0.166268,,,,,,,,,,
,,,,,,,130.127847,0.183770,,,,,,,,,,
,,,,,,,130.108347,0.201272,,,,,,,,,,
,,,,,,,130.088362,0.218774,,,,,,,,,,
,,,,,,,130.073196,0.236276,,,,,,,,,,
,,,,,,,130.059182,0.253778,,,,,,,,,,
,,,,,,,130.041411,0.271280,,,,,,,,,,
,,,,,,,130.027489,0.288781,,,,,,,,,,
,,,,,,,130.008514,0.306283,,,,,,,,,,
,,,,,,,129.991942,0.323785,,,,,,,,,,
,,,,,,,129.985883,0.341287,,,,,,,,,,
,,,,,,,129.981263,0.358789,,,,,,,,,,
